trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w05.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,15429059020,1542905902080,0.01,0.8129,0.9577,73034546,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w05.oracleGeneral.bin.zst__lru__OBL__15429059020.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,lru,none,234682583,23468258304,0.01,0.3211,0.1779,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__lru__noprefetch__234682583.log,ok
w05.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,15429059020,1542905902080,0.01,0.8276,0.9621,73034546,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w05.oracleGeneral.bin.zst__sieve__OBL__15429059020.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,234682583,23468258304,0.01,0.3209,0.1779,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__lru__OBL__234682583.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,sieve,none,234682583,23468258304,0.01,0.2819,0.1659,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__sieve__noprefetch__234682583.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,234682583,23468258304,0.01,0.2818,0.1655,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__sieve__OBL__234682583.log,ok
w07.oracleGeneral.bin.zst,oracleGeneral,lru,none,1467303429,146730342912,0.01,0.6996,0.8227,67427405,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w07.oracleGeneral.bin.zst__lru__noprefetch__1467303429.log,ok
w07.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,1467303429,146730342912,0.01,0.6996,0.8227,67427405,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w07.oracleGeneral.bin.zst__lru__OBL__1467303429.log,ok
w01.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,6859525155,685952515584,0.01,0.8346,0.7703,215796257,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w01.oracleGeneral.bin.zst__lru__OBL__6859525155.log,ok
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,none,6859525155,685952515584,0.01,0.8442,0.7735,215796257,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w01.oracleGeneral.bin.zst__sieve__noprefetch__6859525155.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,lru,PG,234682583,23468258304,0.01,0.3057,0.1777,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__lru__PG__234682583.log,ok
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,6859525155,685952515584,0.01,0.8442,0.7735,215796257,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w01.oracleGeneral.bin.zst__sieve__OBL__6859525155.log,ok
w01.oracleGeneral.bin.zst,oracleGeneral,lru,none,6859525155,685952515584,0.01,0.8346,0.7703,215796257,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w01.oracleGeneral.bin.zst__lru__noprefetch__6859525155.log,ok
w06.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,234682583,23468258304,0.01,0.2695,0.1654,69392150,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w06.oracleGeneral.bin.zst__sieve__PG__234682583.log,ok
w07.oracleGeneral.bin.zst,oracleGeneral,sieve,none,1467303429,146730342912,0.01,0.5891,0.7737,67427405,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w07.oracleGeneral.bin.zst__sieve__noprefetch__1467303429.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,17851412730,1785141273088,0.01,0.3879,0.4648,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__lru__Mithril__17851412730.log,ok
w08.oracleGeneral.bin.zst,oracleGeneral,lru,none,10882320288,1088232028864,0.01,0.9182,0.9731,44464937,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w08.oracleGeneral.bin.zst__lru__noprefetch__10882320288.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,lru,PG,17851412730,1785141273088,0.01,0.4802,0.6959,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__lru__PG__17851412730.log,ok
w07.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,1467303429,146730342912,0.01,0.5891,0.7737,67427405,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w07.oracleGeneral.bin.zst__sieve__OBL__1467303429.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,17851412730,1785141273088,0.01,0.4648,0.6889,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__sieve__PG__17851412730.log,ok
w08.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,10882320288,1088232028864,0.01,0.9182,0.9731,44464937,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w08.oracleGeneral.bin.zst__lru__OBL__10882320288.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,19190377932,1919037793280,0.01,0.6127,0.8232,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__sieve__PG__19190377932.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,PG,19190377932,1919037793280,0.01,0.6287,0.8284,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__lru__PG__19190377932.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,17851412730,1785141273088,0.01,0.3777,0.4629,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__sieve__Mithril__17851412730.log,ok
w08.oracleGeneral.bin.zst,oracleGeneral,sieve,none,10882320288,1088232028864,0.01,0.8885,0.9618,44464937,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w08.oracleGeneral.bin.zst__sieve__noprefetch__10882320288.log,ok
w08.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,10882320288,1088232028864,0.01,0.8885,0.9618,44464937,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w08.oracleGeneral.bin.zst__sieve__OBL__10882320288.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,19190377932,1919037793280,0.01,0.5034,0.5079,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__sieve__Mithril__19190377932.log,ok
w100.oracleGeneral.bin.zst,oracleGeneral,lru,none,539354275,53935427584,0.01,0.7411,0.9333,3645877,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w100.oracleGeneral.bin.zst__lru__noprefetch__539354275.log,ok
w09.oracleGeneral.bin.zst,oracleGeneral,lru,none,11338699714,1133869971456,0.01,0.5517,0.7591,49622929,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w09.oracleGeneral.bin.zst__lru__noprefetch__11338699714.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,19190377932,1919037793280,0.01,0.5069,0.5065,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__lru__Mithril__19190377932.log,ok
w100.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,539354275,53935427584,0.01,0.7411,0.9333,3645877,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w100.oracleGeneral.bin.zst__lru__OBL__539354275.log,ok
w09.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,11338699714,1133869971456,0.01,0.5517,0.7591,49622929,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w09.oracleGeneral.bin.zst__lru__OBL__11338699714.log,ok
