trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w77.oracleGeneral.bin.zst,oracleGeneral,sieve,none,189116375,18911637504,0.01,0.5789,0.7409,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__sieve__noprefetch__189116375.log,ok
w72.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,74601006,7460100608,0.01,0.2906,0.4083,6407185,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w72.oracleGeneral.bin.zst__lru__Mithril__74601006.log,ok
w77.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,189116375,18911637504,0.01,0.5792,0.7416,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__sieve__OBL__189116375.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,sieve,none,369610373,36961037312,0.01,0.4542,0.7216,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__sieve__noprefetch__369610373.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,lru,none,369610373,36961037312,0.01,0.4955,0.6264,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__lru__noprefetch__369610373.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,369610373,36961037312,0.01,0.4954,0.6264,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__lru__OBL__369610373.log,ok
w78.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,369610373,36961037312,0.01,0.4542,0.7216,5493106,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w78.oracleGeneral.bin.zst__sieve__OBL__369610373.log,ok
w76.oracleGeneral.bin.zst,oracleGeneral,lru,PG,88240885,8824088576,0.01,0.3782,0.6066,6076272,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w76.oracleGeneral.bin.zst__lru__PG__88240885.log,ok
w75.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,201410744,20141074432,0.01,0.1905,0.3340,6152624,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w75.oracleGeneral.bin.zst__sieve__Mithril__201410744.log,ok
w69.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,338126909,33812690944,0.01,0.4305,0.5136,7874006,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w69.oracleGeneral.bin.zst__sieve__Mithril__338126909.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,lru,none,657529134,65752913408,0.01,0.9722,0.9587,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__lru__noprefetch__657529134.log,ok
w69.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,338126909,33812690944,0.01,0.4363,0.5154,7874006,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w69.oracleGeneral.bin.zst__lru__Mithril__338126909.log,ok
w75.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,201410744,20141074432,0.01,0.2030,0.3838,6152624,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w75.oracleGeneral.bin.zst__lru__Mithril__201410744.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,657529134,65752913408,0.01,0.9576,0.9576,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__lru__OBL__657529134.log,ok
w76.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,88240885,8824088576,0.01,0.3621,0.5902,6076272,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w76.oracleGeneral.bin.zst__sieve__PG__88240885.log,ok
w80.oracleGeneral.bin.zst,oracleGeneral,lru,none,49122165,4912216576,0.01,0.8187,0.9040,5256246,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w80.oracleGeneral.bin.zst__lru__noprefetch__49122165.log,ok
w75.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,201410744,20141074432,0.01,0.2542,0.3732,6152624,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w75.oracleGeneral.bin.zst__sieve__PG__201410744.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,sieve,none,657529134,65752913408,0.01,0.9223,0.9464,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__sieve__noprefetch__657529134.log,ok
w75.oracleGeneral.bin.zst,oracleGeneral,lru,PG,201410744,20141074432,0.01,0.2769,0.4421,6152624,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w75.oracleGeneral.bin.zst__lru__PG__201410744.log,ok
w68.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,221981148,22198114816,0.01,0.4000,0.4735,8875971,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w68.oracleGeneral.bin.zst__lru__Mithril__221981148.log,ok
w79.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,657529134,65752913408,0.01,0.9072,0.9456,5411394,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w79.oracleGeneral.bin.zst__sieve__OBL__657529134.log,ok
w77.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,189116375,18911637504,0.01,0.5771,0.7385,5616402,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w77.oracleGeneral.bin.zst__sieve__PG__189116375.log,ok
w68.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,221981148,22198114816,0.01,0.3652,0.4490,8875971,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w68.oracleGeneral.bin.zst__sieve__Mithril__221981148.log,ok
